Data,Label
814.56,0
826.27,0
1005.28,0
1005.36,0
1005.36,0
1005.36,0
51.71,0
51.71,0
51.71,0
51.71,0
814.62,0
1005.36,0
1005.36,0
1005.36,0
1005.36,0
51.71,0
51.71,0
51.71,0
51.71,0
669.68,0
824.18,0
824.18,0
824.18,0
51.71,0
51.71,0
51.71,0
51.71,0
331.72,0
51.71,0
51.71,0
51.71,0
51.71,0
425.43,0
518.89,0
51.62,0
51.62,0
51.62,0
51.62,0
669.6,0
824.09,0
824.09,0
824.09,0
51.62,0
51.62,0
51.62,0
51.62,0
425.35,0
518.81,0
51.62,0
51.62,0
51.62,0
51.62,0
814.54,0
1005.28,0
1005.28,0
1005.28,0
1005.28,0
1005.4,0
