Data,Label
1007.96,0
1007.93,0
1007.93,0
54.27,0
54.27,0
54.27,0
54.27,0
328.82,0
397.49,0
54.27,0
54.27,0
54.27,0
54.27,0
397.49,0
54.27,0
54.27,0
54.27,0
54.27,0
328.82,0
397.49,0
54.27,0
54.27,0
54.27,0
54.27,0
521.46,0
521.46,0
54.27,0
54.27,0
54.27,0
54.27,0
521.46,0
521.46,0
54.27,0
54.27,0
54.27,0
54.27,0
672.25,0
826.85,0
826.88,0
826.88,0
54.41,0
54.41,0
54.41,0
54.41,0
672.39,0
826.89,0
826.89,0
826.89,0
826.89,0
54.42,0
54.42,0
54.42,0
54.42,0
521.61,0
521.61,0
54.42,0
54.42,0
54.42,0
54.42,0
672.39,0
826.89,0
826.89,0
826.89,0
54.42,0
54.42,0
54.42,0
54.42,0
397.64,0
397.53,0
