Model,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
OmniAnomaly,1.1895389556884766,0.0561956822099343,0.6672884800576617,0.0701678551486521,0.7250459851028668,0.101133210299918,0.4607142857142857,0.1545120103873618,0.1132399199313697,0.7000087000873657
OmniAnomaly,0.8593854904174805,0.0425601399653251,0.6216199051180706,0.058546968724145,0.6832830843964939,0.0886981402002861,0.149584487534626,0.091043671354552,0.0674548191252324,0.6824034632925049
POLY,0.8179950714111328,0.7637728345580371,0.934492476205668,0.8302435576456003,0.9676762295596304,0.7843087428228888,0.9411764705882352,0.9189189189189184,0.8210696658305688,0.9938857942866096
POLY,0.0651731491088867,0.7637728345580371,0.934492476205668,0.8302435576456003,0.9676762295596304,0.7843137254901961,0.935064935064935,0.9122807017543854,0.8136156379433584,0.993783839143924
SAND,2.4615581035614014,0.9670174345881049,0.9947216018858228,0.9727765117481508,0.9980661297303602,0.9220133490718028,1.0,0.9999999999999996,0.9018476315300424,0.9981574326705976
SAND,2.190271139144897,0.9552443814203266,0.991449327378104,0.9619704506199884,0.9969092098265266,0.8986175115207372,0.9494505494505494,0.9440389294403888,0.8743179380589293,0.9928583523519144
SR,0.0030014514923095,0.6069669287545586,0.8942178739594596,0.5977932464135316,0.9253588729571744,0.6149683823201694,0.9818181818181818,0.9413522599925284,0.5621269669017906,0.98155161550206
SR,0.0020017623901367,0.6069669287545586,0.8942178739594596,0.5977932464135316,0.9253588729571744,0.6149732620320857,0.9094736842105264,0.8413284132841323,0.5090131945734994,0.9428840583388974
Sub_HBOS,2.448040246963501,0.8288409792367583,0.9698719596131464,0.8299190657515328,0.9796764211057684,0.8370990749873494,0.9976905311778292,0.9863013698630132,0.6715130614708165,0.9897441407628524
Sub_HBOS,0.0029997825622558,0.8288409792367583,0.9698719596131464,0.8299190657515328,0.9796764211057684,0.8371040723981902,0.9133192389006344,0.8962025316455692,0.6400647000767629,0.9760495338004288
Sub_IForest,0.4118471145629883,0.0254288173546288,0.4023420653066529,0.0335274068530373,0.4341058739289095,0.0646415845335592,0.094775212636695,0.0645451816271389,0.1007365727308736,0.6688189351860109
Sub_IForest,0.1851651668548584,0.0254288173546288,0.4023420653066529,0.0335274068530373,0.4341058739289095,0.0646422128683102,0.0649331128814068,0.0643705820424123,0.1027859193031887,0.6677413726743947
Sub_KNN,0.1260793209075927,0.6244909693216376,0.9905646095130064,0.8401070255569204,0.9959326997182866,0.8068785166032465,0.8388349514563107,0.8132295719844354,0.7969421349255065,0.9905681356306196
Sub_KNN,0.1193768978118896,0.6244909693216376,0.9905646095130064,0.8401070255569204,0.9959326997182866,0.8068833652007648,0.8181818181818182,0.8139534883720925,0.7815285091909513,0.9906028319526448
Sub_LOF,0.1951367855072021,0.022580977741667,0.3229183282820226,0.0321249223366309,0.408643397599131,0.067975378209218,0.088560885608856,0.0679180887372013,0.0795671975260078,0.7944203332945649
Sub_LOF,0.1176071166992187,0.022580977741667,0.3229183282820226,0.0321249223366309,0.408643397599131,0.0679760888129803,0.0735694822888283,0.0678546949965729,0.0450002303672488,0.6730599846437362
Sub_MCD,0.2139890193939209,0.3372744448349677,0.9715236052769948,0.5191817322344027,0.981372849502986,0.640945199511849,0.7072758037225042,0.6409495548961419,0.5121120757312403,0.9790913357558528
Sub_MCD,0.17039155960083,0.3372744448349677,0.9715236052769948,0.5191817322344027,0.981372849502986,0.6409495548961425,0.6409495548961425,0.6398809523809519,0.4881826775888793,0.973911127575508
Sub_OCSVM,0.1662354469299316,0.9888642657632736,0.9996241056816908,0.9939396648022428,0.9998504196838598,0.9454495471338626,1.0,0.9999999999999996,0.9495744472497668,0.998985051567702
Sub_OCSVM,0.1440012454986572,0.9888642657632736,0.9996241056816908,0.9939396648022428,0.9998504196838598,0.9454545454545454,0.9642857142857144,0.962790697674418,0.9495744472497668,0.9979740191099498
Sub_PCA,0.0085113048553466,0.8740547951004947,0.9765283907292204,0.9178255624268824,0.9890610109221376,0.8753006393119815,1.0,0.9999999999999996,0.8911787762441763,0.9973964425878826
Sub_PCA,0.0029990673065185,0.8740547951004947,0.9765283907292204,0.9178255624268824,0.9890610109221376,0.8753056234718826,0.968609865470852,0.9621621621621615,0.8936882619627323,0.9970231999208028
TranAD,5.1740403175354,0.0432422635420104,0.511342555667807,0.0420151019011211,0.538589241393737,0.0834996235870746,0.3292273236282195,0.1253263707571797,0.0994196092330867,0.6743348377167916
TranAD,0.5737776756286621,0.0367153508645002,0.5476093416753809,0.0429111203150997,0.5848406298909381,0.090006207324643,0.1311873671424233,0.0914576055890757,0.0659932269155928,0.6774954882903026
USAD,0.5961930751800537,0.0653826472871416,0.6530440054825921,0.0696805759749933,0.615204213572639,0.1074106055174499,0.1653290529695024,0.1082228725540826,0.3426416359896002,0.7233392892757625
USAD,0.5413820743560791,0.0671410574576147,0.6697026225459788,0.0721113272197234,0.6381753248741965,0.11671388101983,0.1786301369863013,0.1212514183822336,0.1002796511361695,0.7182933074474571
